Project URL,SHA Detected,Module Path,Test,Category,Status,Identifier
https://github.com/apache/dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-rpc/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo.telnet.PortTelnetHandlerTest.testListAllPort,OD-Vic,Accepted,dubbo-737f7a7ea67832d7f17517326fb2491d0a086dd7-bbo-rpc-dubbo-rpc-dubbo
https://github.com/apache/dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-rpc/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo.telnet.PortTelnetHandlerTest.testListDetail,OD-Vic,Accepted,dubbo-737f7a7ea67832d7f17517326fb2491d0a086dd7-bbo-rpc-dubbo-rpc-dubbo
https://github.com/apache/dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-rpc/dubbo-rpc-api,org.apache.dubbo.rpc.proxy.javassist.JavassistProxyFactoryTest.testGetInvoker,OD-Vic,Accepted,dubbo-737f7a7ea67832d7f17517326fb2491d0a086dd7-bbo-rpc-dubbo-rpc-api
https://github.com/apache/dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-rpc/dubbo-rpc-api,org.apache.dubbo.rpc.proxy.jdk.JdkProxyFactoryTest.testGetInvoker,OD-Vic,Accepted,dubbo-737f7a7ea67832d7f17517326fb2491d0a086dd7-bbo-rpc-dubbo-rpc-api
https://github.com/apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-hdfs-project/hadoop-hdfs-nfs,org.apache.hadoop.hdfs.nfs.nfs3.TestRpcProgramNfs3.testAccess,OD-Vic,Accepted,hadoop-cc2babc1f75c93bf89a8f10da525f944c15d02ea-doop-hdfs-project-hadoop-hdfs-nfs
https://github.com/apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-hdfs-project/hadoop-hdfs-nfs,org.apache.hadoop.hdfs.nfs.nfs3.TestRpcProgramNfs3.testCommit,OD-Vic,Accepted,hadoop-cc2babc1f75c93bf89a8f10da525f944c15d02ea-doop-hdfs-project-hadoop-hdfs-nfs
https://github.com/apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-hdfs-project/hadoop-hdfs-nfs,org.apache.hadoop.hdfs.nfs.nfs3.TestRpcProgramNfs3.testCreate,OD-Vic,Accepted,hadoop-cc2babc1f75c93bf89a8f10da525f944c15d02ea-doop-hdfs-project-hadoop-hdfs-nfs
https://github.com/apache/hadoop,a585a73c3e02ac62350c136643a5e7f6095a3dbb,hadoop-hdfs-project/hadoop-hdfs-nfs,org.apache.hadoop.hdfs.nfs.nfs3.TestRpcProgramNfs3.testEncryptedReadWrite,OD,Accepted,hadoop-a585a73c3e02ac62350c136643a5e7f6095a3dbb-doop-hdfs-project-hadoop-hdfs-nfs
https://github.com/apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-hdfs-project/hadoop-hdfs-nfs,org.apache.hadoop.hdfs.nfs.nfs3.TestRpcProgramNfs3.testFsinfo,OD-Vic,Accepted,hadoop-cc2babc1f75c93bf89a8f10da525f944c15d02ea-doop-hdfs-project-hadoop-hdfs-nfs
https://github.com/apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-hdfs-project/hadoop-hdfs-nfs,org.apache.hadoop.hdfs.nfs.nfs3.TestRpcProgramNfs3.testFsstat,OD-Vic,Accepted,hadoop-cc2babc1f75c93bf89a8f10da525f944c15d02ea-doop-hdfs-project-hadoop-hdfs-nfs
